PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=2 ttl=119 time=273 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=119 time=67.6 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=119 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=119 time=15.6 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=119 time=15.7 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=119 time=85.5 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=119 time=109 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=119 time=15.8 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=119 time=19.8 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=119 time=20.9 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=119 time=227 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=119 time=135 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=119 time=51.3 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=119 time=16.2 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=119 time=17.2 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=119 time=38.4 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=119 time=362 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=119 time=85.2 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=119 time=110 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=119 time=229 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=119 time=15.5 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=119 time=167 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=119 time=89.4 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=119 time=116 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=119 time=245 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=119 time=16.7 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=119 time=76.9 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=119 time=16.1 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=119 time=24.5 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=119 time=19.1 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=119 time=16.3 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=119 time=16.1 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=119 time=110 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=119 time=15.9 ms
